"LogNumber","Project","n"
"1889","GES",3
"1890","GES",3
"1891","GES",3
"1892","GES",3
"1893","GES",3
"1894","GES",3
"1895","GES",4
"1896","GES",4
"1897","GES",4
"1898","GES",4
"1899","GES",4
"1900","GES",4
"1901","GES",4
"1902","GES",4
"1903","GES",4
"1904","GES",4
"1905","GES",4
"1906","GES",4
"1907","GES",2
"1908","GES",2
"1928","GES",3
"1929","GES",3
"1930","GES",3
"1931","GES",3
"1932","GES",3
"1933","GES",3
"1934","GES",3
"1935","GES",3
"1936","GES",3
"1937","GES",3
"1938","GES",3
"1939","GES",3
"1940","GES",3
"1941","GES",3
"1942","GES",3
"1943","GES",3
"1944","GES",3
"1945","GES",3
"1946","GES",3
"1947","GES",3
"1948","GES",3
"1949","GES",3
"1950","GES",3
"1951","GES",3
"1952","GES",3
"1953","GES",3
"1954","GES",3
"1955","GES",3
"1956","GES",3
"1957","GES",3
"1958","GES",3
"1959","GES",3
"1960","GES",3
"1961","GES",3
"1962","GES",3
"1963","GES",3
"1964","GES",3
"1965","GES",3
"1966","GES",3
"1967","GES",3
"1968","GES",3
"1998","GES",5
"1999","GES",5
"2000","GES",5
"2001","GES",5
"2002","GES",5
"2003","GES",5
"2004","GES",5
"2005","GES",5
"2006","GES",5
"2007","GES",5
"2008","GES",5
"2009","GES",5
"2010","GES",5
"2011","GES",5
"2012","GES",5
"2013","GES",5
"2014","GES",5
"2015","GES",5
"2016","GES",5
"2017","GES",5
"2018","GES",5
"2019","GES",5
"2020","GES",5
"2021","GES",5
"2022","GES",5
"2023","GES",5
"2024","GES",5
"2025","GES",5
"2026","GES",5
"2027","GES",5
"2028","GES",5
"2029","GES",5
"2030","GES",5
"2031","GES",5
"2032","GES",5
"2033","GES",5
"2034","GES",5
"2035","GES",5
"2036","GES",5
"2037","GES",5
"2038","GES",5
"2039","GES",5
"2040","GES",5
"2041","GES",5
"2042","GES",5
"2043","GES",5
"2044","GES",5
"2045","GES",5
"2046","GES",5
"2047","GES",5
"2048","GES",5
"2049","GES",5
"2050","GES",5
"2051","GES",5
"2052","GES",5
"2053","GES",5
"2054","GES",5
"2055","GES",5
"2056","GES",5
"2057","GES",5
"2058","GES",5
"2059","GES",5
"2060","GES",5
"2061","GES",5
"2063","GES",5
