"UniqueID","DietStudy","LogNumber","Project","GearType","Year","Month","Date","Time","Station","SerialNumber","CultureOrigin","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","Length","GutContents","TotalGutContentWeight","TotalNumberOfPrey","TotalPreyWeight","GutFullness","FullnessRank","DigestionRank","Debris","Unid animal material","Unid plant material","Stomach tissue","Worm pieces","Acanthocyclops spp","Acartia copepodid","Acartia spp","Acartiella copepodid","Acartiella sinensis","Barnacle nauplii","Bosmina spp","Calanoid copepodid","Ceriodaphnia spp","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diacyclops spp","Diaphanosoma spp","Diaptomus copepodid","Diaptomus spp","Eucyclops spp","Eurytemora copepodid","Eurytemora nauplii","Eurytemora spp","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona copepodid","Limnoithona spp","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Nippoleucon hinumensis","Oithona copepodid","Oithona davisae","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other rotifer","Other zooplankton","Pacific Herring","Palaemon","Prickly Sculpin","Pseudodiaptomus copepodid","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus nauplii","Pseudodiaptomus spp","Sinocalanus copepodid","Sinocalanus nauplii","Sinocalanus spp","Synchaeta","Terrestrial invertebrates","Tortanus copepodid","Tortanus dextrilobatus","Tortanus spp","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cumacean","Unid cyclopoid","Unid fish","Unid mysids"
"FLaSH 0076 FMWT 2011-09-08 405 1502","FLaSH","0076","FMWT","MWT",2011,9,2011-09-08,07:58:00,"405","1502","U",6.096,19.1,10490,5.91239763594603,NA,13420,7.71685381951675,27,104,NA,53,"Y",0.00205,25,0.00135,NA,NA,NA,"N","N","N","N","N",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0077 FMWT 2011-09-08 405 1503","FLaSH","0077","FMWT","MWT",2011,9,2011-09-08,07:58:00,"405","1503","U",6.096,19.1,10490,5.91239763594603,NA,13420,7.71685381951675,27,104,NA,52,"Y",0.00179,2,0.00013,NA,NA,NA,"N","N","N","N","N",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0078 FMWT 2011-09-08 405 1504","FLaSH","0078","FMWT","MWT",2011,9,2011-09-08,07:58:00,"405","1504","U",6.096,19.1,10490,5.91239763594603,NA,13420,7.71685381951675,27,104,NA,49,"Y",0.00144,1,0.00033,NA,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0079 FMWT 2011-09-08 405 1505","FLaSH","0079","FMWT","MWT",2011,9,2011-09-08,07:58:00,"405","1505","U",6.096,19.1,10490,5.91239763594603,NA,13420,7.71685381951675,27,104,NA,48,"Y",0.002,3,0.00033,NA,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FLaSH 0080 FMWT 2011-09-08 411 1100","FLaSH","0080","FMWT","MWT",2011,9,2011-09-08,10:47:00,"411","1100","U",11.8872,19.7,8150,4.50323139381762,NA,8400,4.65226928575366,66,60.6,NA,55,"Y",0.00175,30,0.00189,NA,NA,NA,"N","N","N","N","N",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0081 FMWT 2011-09-08 411 1101","FLaSH","0081","FMWT","MWT",2011,9,2011-09-08,10:47:00,"411","1101","U",11.8872,19.7,8150,4.50323139381762,NA,8400,4.65226928575366,66,60.6,NA,54,"Y",0.00413,59,0.00392,NA,NA,NA,"N","N","N","N","N",0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"FLaSH 0082 FMWT 2011-09-08 501 1113","FLaSH","0082","FMWT","MWT",2011,9,2011-09-08,12:42:00,"501","1113","U",13.716,20,6960,3.79929527000611,NA,7310,4.0053613113612,31,69,NA,59,"Y",NA,339,0.02173,NA,NA,NA,"N","N","N","N","N",0,0,0,1,103,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"FLaSH 0114 FMWT 2011-10-07 507 2405","FLaSH","0114","FMWT","MWT",2011,10,2011-10-07,12:18:00,"507","2405","U",11.2776,18.8,576,0.262646488287957,NA,915,0.431076462119096,33,35.2,NA,62,"Y",0.00239,71,0.00404,NA,NA,NA,"Y","Y","N","N","N",0,0,0,0,12,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FLaSH 0166 FMWT 2011-09-08 502 1115","FLaSH","0166","FMWT","MWT",2011,9,2011-09-08,13:10:00,"502","1115","U",14.3256,20.1,6550,3.55899409093209,NA,6640,3.6116398470702,32,50.5,NA,54,"Y",0.00394,48,0.00291,NA,NA,NA,"N","N","N","N","N",0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0167 FMWT 2011-09-08 502 1116","FLaSH","0167","FMWT","MWT",2011,9,2011-09-08,13:10:00,"502","1116","U",14.3256,20.1,6550,3.55899409093209,NA,6640,3.6116398470702,32,50.5,NA,53,"Y",NA,132,0.00812,NA,NA,NA,"N","N","N","N","N",0,0,0,0,61,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"FLaSH 0506 SKT 2012-03-08 707 4609","FLaSH","0506","SKT","KT",2012,3,2012-03-08,08:45:00,"707","4609","U",9.144,10.8,233,0.1,NA,NA,NA,51,26,NA,65,"Y",0.00846,24,0.00262,NA,NA,NA,"N","N","N","N","N",1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0519 SKT 2012-03-08 713 4633","FLaSH","0519","SKT","KT",2012,3,2012-03-08,09:31:00,"713","4633","U",11.5824,10.7,274,0.12,NA,NA,NA,35,37,NA,65,"Y",NA,41,0.00168,NA,NA,NA,"N","N","N","N","N",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
